id,name.local,name.en,name.slug,code.id,children_count.commune,geo.lat,geo.lon
ML-A010102,Diandioumbéra,Diandioumbéra,diandioumbra-010102,ML-A010102,1,14.448,-11.444
ML-A010101,Kayes,Kayes,kayes-010101,ML-A010101,7,14.448,-11.444
ML-A010103,Lontou,Lontou,lontou-010103,ML-A010103,1,14.448,-11.444
ML-A010104,Samé,Samé,sam-010104,ML-A010104,2,14.448,-11.444
