id,name.local,name.en,name.slug,code.id,children_count.commune,geo.lat,geo.lon
ML-A190202,Diankabou,Diankabou,diankabou-190202,ML-A190202,3,14.627,-7.984
ML-A190203,Dinangourou,Dinangourou,dinangourou-190203,ML-A190203,1,14.627,-7.984
ML-A190204,Dioungani,Dioungani,dioungani-190204,ML-A190204,1,14.627,-7.984
ML-A190208,Kassa,Kassa,kassa-190208,ML-A190208,1,14.627,-7.984
ML-A190205,Koporokendié Na,Koporokendié Na,koporokendi-na-190205,ML-A190205,3,14.627,-7.984
ML-A190201,Koro,Koro,koro-190201,ML-A190201,3,14.627,-7.984
ML-A190206,Madougou,Madougou,madougou-190206,ML-A190206,2,14.627,-7.984
ML-A190207,Toroli,Toroli,toroli-190207,ML-A190207,2,14.627,-7.984
