id,name.local,name.en,name.slug,code.id,children_count.commune,geo.lat,geo.lon
ML-A090202,Achamour,Achamour,achamour-090202,ML-A090202,1,18.905,-3.526
ML-A090201,Araouane,Araouane,araouane-090201,ML-A090201,1,18.905,-3.526
ML-A090203,M'Back-Sama,M'Back-Sama,mback-sama-090203,ML-A090203,1,18.905,-3.526
ML-A090204,Tinéguelhadj (Tengoutranat),Tinéguelhadj (Tengoutranat),tinguelhadj-tengoutranat-090204,ML-A090204,1,18.905,-3.526
ML-A090205,Wade Lahjare,Wade Lahjare,wade-lahjare-090205,ML-A090205,1,18.905,-3.526
