id,name.local,name.en,name.slug,code.id,children_count.commune,geo.lat,geo.lon
ML-A060801,Bambara-Maoudé,Bambara-Maoudé,bambara-maoud-060801,ML-A060801,1,15.851,-2.786
ML-A060803,Haribomo,Haribomo,haribomo-060803,ML-A060803,1,15.851,-2.786
ML-A060802,Inadiatafane,Inadiatafane,inadiatafane-060802,ML-A060802,1,15.851,-2.786
