id,name.local,name.en,name.slug,code.id,children_count.commune,geo.lat,geo.lon
ML-A150203,Doussoudiana,Doussoudiana,doussoudiana-150203,ML-A150203,2,11.183,-8.15
ML-A150204,Filamana,Filamana,filamana-150204,ML-A150204,1,11.183,-8.15
ML-A150206,Guéléninkoro,Guéléninkoro,gulninkoro-150206,ML-A150206,2,11.183,-8.15
ML-A150202,Kalana,Kalana,kalana-150202,ML-A150202,1,11.183,-8.15
ML-A150207,Siékorolé,Siékorolé,sikorol-150207,ML-A150207,1,11.183,-8.15
ML-A150201,Yanfolila,Yanfolila,yanfolila-150201,ML-A150201,1,11.183,-8.15
ML-A150205,Yorobougoula,Yorobougoula,yorobougoula-150205,ML-A150205,1,11.183,-8.15
