id,name.local,name.en,name.slug,code.id,children_count.commune,geo.lat,geo.lon
ML-A090501,Al-Ourche,Al-Ourche,al-ourche-090501,ML-A090501,1,22.677,-3.979
ML-A090502,Diaba,Diaba,diaba-090502,ML-A090502,1,22.677,-3.979
ML-A090506,Nibkt-Elk,Nibkt-Elk,nibkt-elk-090506,ML-A090506,1,22.677,-3.979
ML-A090503,Oum-Laazam,Oum-Laazam,oum-laazam-090503,ML-A090503,1,22.677,-3.979
ML-A090504,Tamagounite,Tamagounite,tamagounite-090504,ML-A090504,1,22.677,-3.979
ML-A090505,Ziriba,Ziriba,ziriba-090505,ML-A090505,1,22.677,-3.979
