id,name.local,name.en,name.slug,code.id,children_count.commune,geo.lat,geo.lon
ML-A050102,Dialloubé,Dialloubé,dialloub-050102,ML-A050102,1,14.484,-4.183
ML-A050103,Fatoma,Fatoma,fatoma-050103,ML-A050103,3,14.484,-4.183
ML-A050101,Mopti,Mopti,mopti-050101,ML-A050101,2,14.484,-4.183
ML-A050107,Ouro-Modi,Ouro-Modi,ouro-modi-050107,ML-A050107,3,14.484,-4.183
ML-A050104,Sendegué,Sendegué,sendegu-050104,ML-A050104,1,14.484,-4.183
ML-A050105,Soufouroulaye,Soufouroulaye,soufouroulaye-050105,ML-A050105,1,14.484,-4.183
ML-A050106,Soye,Soye,soye-050106,ML-A050106,1,14.484,-4.183
