id,name.local,name.en,name.slug,code.id,children_count.commune,geo.lat,geo.lon
ML-A020702,Bancoumana,Bancoumana,bancoumana-020702,ML-A020702,1,12.375,-8.337
ML-A020701,Siby,Siby,siby-020701,ML-A020701,3,12.375,-8.337
ML-A020703,Sobra,Sobra,sobra-020703,ML-A020703,1,12.375,-8.337
