id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.region,children_count.cercle,children_count.arrondissement,children_count.commune,zip_codes,geo.lat,geo.lon
ML-A010602,3,Arrondissement,Arrondissement,Koussané,Koussané,koussan-010602,ML-A010602,,ML0106,Aourou,Aourou,,,,1,,14.968,-11.587
ML-A010603,3,Arrondissement,Arrondissement,Téchibé,Téchibé,tchib-010603,ML-A010603,,ML0106,Aourou,Aourou,,,,1,,14.968,-11.587
ML-A010701,3,Arrondissement,Arrondissement,Diamou,Diamou,diamou-010701,ML-A010701,,ML0107,Diamou,Diamou,,,,1,,12.079,-7.236
ML-A010702,3,Arrondissement,Arrondissement,Logo Sabouciré,Logo Sabouciré,logo-saboucir-010702,ML-A010702,,ML0107,Diamou,Diamou,,,,1,,12.079,-7.236
ML-A010801,3,Arrondissement,Arrondissement,Oussoubidiagna,Oussoubidiagna,oussoubidiagna-010801,ML-A010801,,ML0108,Oussoubidiagna,Oussoubidiagna,,,,1,,14.245,-10.462
ML-A010802,3,Arrondissement,Arrondissement,Diakon,Diakon,diakon-010802,ML-A010802,,ML0108,Oussoubidiagna,Oussoubidiagna,,,,1,,14.245,-10.462
ML-A010803,3,Arrondissement,Arrondissement,Diallan,Diallan,diallan-010803,ML-A010803,,ML0108,Oussoubidiagna,Oussoubidiagna,,,,1,,14.245,-10.462
ML-A010804,3,Arrondissement,Arrondissement,Goundara,Goundara,goundara-010804,ML-A010804,,ML0108,Oussoubidiagna,Oussoubidiagna,,,,1,,14.245,-10.462
ML-A010805,3,Arrondissement,Arrondissement,Tigana,Tigana,tigana-010805,ML-A010805,,ML0108,Oussoubidiagna,Oussoubidiagna,,,,1,,14.245,-10.462
ML-A010901,3,Arrondissement,Arrondissement,Ségala,Ségala,sgala-010901,ML-A010901,,ML0109,Ségala,Segala,,,,4,,12.529,-5.732
ML-A010902,3,Arrondissement,Arrondissement,Maréna,Maréna,marna-010902,ML-A010902,,ML0109,Ségala,Segala,,,,1,,12.529,-5.732
ML-A011001,3,Arrondissement,Arrondissement,Sadiola,Sadiola,sadiola-011001,ML-A011001,,ML0110,Sadiola,Sadiola,,,,1,,13.891,-11.706
ML-A011002,3,Arrondissement,Arrondissement,Dialafara,Dialafara,dialafara-011002,ML-A011002,,ML0110,Sadiola,Sadiola,,,,1,,13.891,-11.706
ML-A020101,3,Arrondissement,Arrondissement,Koulikoro,Koulikoro,koulikoro-020101,ML-A020101,,ML0201,Koulikoro,Koulikoro,,,,2,,12.863,-7.56
ML-A020102,3,Arrondissement,Arrondissement,Kénenkoun,Kénenkoun,knenkoun-020102,ML-A020102,,ML0201,Koulikoro,Koulikoro,,,,1,,12.863,-7.56
ML-A020103,3,Arrondissement,Arrondissement,Koula,Koula,koula-020103,ML-A020103,,ML0201,Koulikoro,Koulikoro,,,,2,,12.863,-7.56
ML-A020104,3,Arrondissement,Arrondissement,Sirakorola,Sirakorola,sirakorola-020104,ML-A020104,,ML0201,Koulikoro,Koulikoro,,,,1,,12.863,-7.56
ML-A020105,3,Arrondissement,Arrondissement,Tienfala,Tienfala,tienfala-020105,ML-A020105,,ML0201,Koulikoro,Koulikoro,,,,1,,12.863,-7.56
ML-A020201,3,Arrondissement,Arrondissement,Banamba,Banamba,banamba-020201,ML-A020201,,ML0202,Banamba,Banamba,,,,3,,13.548,-7.448
ML-A020202,3,Arrondissement,Arrondissement,Boron,Boron,boron-020202,ML-A020202,,ML0202,Banamba,Banamba,,,,1,,13.548,-7.448
ML-A020203,3,Arrondissement,Arrondissement,Madina-Sacko,Madina-Sacko,madina-sacko-020203,ML-A020203,,ML0202,Banamba,Banamba,,,,1,,13.548,-7.448
ML-A020204,3,Arrondissement,Arrondissement,Sébété,Sébété,sbt-020204,ML-A020204,,ML0202,Banamba,Banamba,,,,2,,13.548,-7.448
ML-A020205,3,Arrondissement,Arrondissement,Touba,Touba,touba-020205,ML-A020205,,ML0202,Banamba,Banamba,,,,1,,13.548,-7.448
ML-A020206,3,Arrondissement,Arrondissement,Toukoroba,Toukoroba,toukoroba-020206,ML-A020206,,ML0202,Banamba,Banamba,,,,1,,13.548,-7.448
ML-A020301,3,Arrondissement,Arrondissement,Kangaba,Kangaba,kangaba-020301,ML-A020301,,ML0203,Kangaba,Kangaba,,,,4,,11.933,-8.417
ML-A020302,3,Arrondissement,Arrondissement,Naréna,Naréna,narna-020302,ML-A020302,,ML0203,Kangaba,Kangaba,,,,4,,11.933,-8.417
ML-A020401,3,Arrondissement,Arrondissement,Kati,Kati,kati-020401,ML-A020401,,ML0204,Kati,Kati,,,,9,,16.113,-3.733
ML-A020402,3,Arrondissement,Arrondissement,Sanankoroba,Sanankoroba,sanankoroba-020402,ML-A020402,,ML0204,Kati,Kati,,,,3,,16.113,-3.733
ML-A020403,3,Arrondissement,Arrondissement,Baguinéda,Baguinéda,baguinda-020403,ML-A020403,,ML0204,Kati,Kati,,,,4,,16.113,-3.733
ML-A020404,3,Arrondissement,Arrondissement,Djoliba,Djoliba,djoliba-020404,ML-A020404,,ML0204,Kati,Kati,,,,1,,16.113,-3.733
ML-A020501,3,Arrondissement,Arrondissement,Kolokani,Kolokani,kolokani-020501,ML-A020501,,ML0205,Kolokani,Kolokani,,,,4,,13.573,-8.034
ML-A020502,3,Arrondissement,Arrondissement,Didiéni,Didiéni,didini-020502,ML-A020502,,ML0205,Kolokani,Kolokani,,,,2,,13.573,-8.034
ML-A020503,3,Arrondissement,Arrondissement,Nossombougou,Nossombougou,nossombougou-020503,ML-A020503,,ML0205,Kolokani,Kolokani,,,,3,,13.573,-8.034
ML-A020504,3,Arrondissement,Arrondissement,Massantola,Massantola,massantola-020504,ML-A020504,,ML0205,Kolokani,Kolokani,,,,1,,13.573,-8.034
ML-A020601,3,Arrondissement,Arrondissement,Nyamina,Nyamina,nyamina-020601,ML-A020601,,ML0206,Nyamina,Nyamina,,,,1,,13.319,-6.982
ML-A020602,3,Arrondissement,Arrondissement,Tougouni,Tougouni,tougouni-020602,ML-A020602,,ML0206,Nyamina,Nyamina,,,,1,,13.319,-6.982
ML-A020701,3,Arrondissement,Arrondissement,Siby,Siby,siby-020701,ML-A020701,,ML0207,Siby,Siby,,,,3,,12.375,-8.337
ML-A020702,3,Arrondissement,Arrondissement,Bancoumana,Bancoumana,bancoumana-020702,ML-A020702,,ML0207,Siby,Siby,,,,1,,12.375,-8.337
ML-A020703,3,Arrondissement,Arrondissement,Sobra,Sobra,sobra-020703,ML-A020703,,ML0207,Siby,Siby,,,,1,,12.375,-8.337
ML-A020801,3,Arrondissement,Arrondissement,Néguéla,Néguéla,ngula-020801,ML-A020801,,,,,,,,2,,12.478,-5.645
ML-A020802,3,Arrondissement,Arrondissement,Daban,Daban,daban-020802,ML-A020802,,,,,,,,1,,13.22,-8.314
ML-A020803,3,Arrondissement,Arrondissement,Faladié,Faladié,faladi-020803,ML-A020803,,,,,,,,1,,13.133,-8.345
